Africa/Gaborone	-9223372036854775808,6220,0,LMT;-2682294220,5400,0,SAST;-2109288600,7200,0,CAT;-829526400,10800,1,CAST;-813805200,7200,0,CAT
Africa/Harare	-9223372036854775808,7452,0,LMT;-2109290652,7200,0,CAT
Africa/Johannesburg	-9223372036854775808,6720,0,LMT;-2458173120,5400,0,SAST;-2109288600,7200,0,SAST;-860976000,10800,1,SAST;-845254800,7200,0,SAST;-829526400,10800,1,SAST;-813805200,7200,0,SAST
Africa/Juba	-9223372036854775808,7588,0,LMT;-1230775588,7200,0,CAT;10360800,10800,1,CAST;24786000,7200,0,CAT;41810400,10800,1,CAST;56322000,7200,0,CAT;73432800,10800,1,CAST;87944400,7200,0,CAT;104882400,10800,1,CAST;119480400,7200,0,CAT;136332000,10800,1,CAST;151016400,7200,0,CAT;167781600,10800,1,CAST;182552400,7200,0,CAT;199231200,10800,1,CAST;214174800,7200,0,CAT;230680800,10800,1,CAST;245710800,7200,0,CAT;262735200,10800,1,CAST;277246800,7200,0,CAT;294184800,10800,1,CAST;308782800,7200,0,CAT;325634400,10800,1,CAST;340405200,7200,0,CAT;357084000,10800,1,CAST;371941200,7200,0,CAT;388533600,10800,1,CAST;403477200,7200,0,CAT;419983200,10800,1,CAST;435013200,7200,0,CAT;452037600,10800,1,CAST;466635600,7200,0,CAT;483487200,10800,1,CAST;498171600,7200,0,CAT;947930400,10800,0,EAT;1612126800,7200,0,CAT
Africa/Kampala	-9223372036854775808,7780,0,LMT;-1309745380,10800,0,EAT;-1262314800,9000,0,+0230;-694319400,9900,0,+0245;-410237100,10800,0,EAT
Africa/Khartoum	-9223372036854775808,7808,0,LMT;-1230775808,7200,0,CAT;10360800,10800,1,CAST;24786000,7200,0,CAT;41810400,10800,1,CAST;56322000,7200,0,CAT;73432800,10800,1,CAST;87944400,7200,0,CAT;104882400,10800,1,CAST;119480400,7200,0,CAT;136332000,10800,1,CAST;151016400,7200,0,CAT;167781600,10800,1,CAST;182552400,7200,0,CAT;199231200,10800,1,CAST;214174800,7200,0,CAT;230680800,10800,1,CAST;245710800,7200,0,CAT;262735200,10800,1,CAST;277246800,7200,0,CAT;294184800,10800,1,CAST;308782800,7200,0,CAT;325634400,10800,1,CAST;340405200,7200,0,CAT;357084000,10800,1,CAST;371941200,7200,0,CAT;388533600,10800,1,CAST;403477200,7200,0,CAT;419983200,10800,1,CAST;435013200,7200,0,CAT;452037600,10800,1,CAST;466635600,7200,0,CAT;483487200,10800,1,CAST;498171600,7200,0,CAT;947930400,10800,0,EAT;1509483600,7200,0,CAT
Africa/Kigali	-9223372036854775808,7216,0,LMT;-1091498416,7200,0,CAT
Africa/Kinshasa	-9223372036854775808,3672,0,LMT;-2276643672,3600,0,WAT
Africa/Lagos	-9223372036854775808,815,0,LMT;-2035584815,0,0,GMT;-1940889600,815,0,LMT;-1767226415,1800,0,+0030;-1588465800,3600,0,WAT
Africa/Libreville	-9223372036854775808,2268,0,LMT;-1830386268,3600,0,WAT
Africa/Lome	-9223372036854775808,292,0,LMT;-2429827492,0,0,GMT
Africa/Luanda	-9223372036854775808,3176,0,LMT;-2461452776,3124,0,LMT;-1830387600,3600,0,WAT
Africa/Lubumbashi	-9223372036854775808,6592,0,LMT;-2276646592,3600,0,WAT;-1567990800,7200,0,CAT
Africa/Lusaka	-9223372036854775808,6788,0,LMT;-2109289988,7200,0,CAT
Africa/Malabo	-9223372036854775808,2108,0,LMT;-1830386108,0,0,GMT;-190857600,3600,0,WAT
Africa/Maputo	-9223372036854775808,7818,0,LMT;-1924999818,7200,0,CAT
Africa/Maseru	-9223372036854775808,6600,0,LMT;-2109289800,7200,0,SAST;-829526400,10800,1,SAST;-813805200,7200,0,SAST
Africa/Mbabane	-9223372036854775808,7464,0,LMT;-2109290664,7200,0,SAST
Africa/Mogadishu	-9223372036854775808,10888,0,LMT;-2403572488,10800,0,EAT;-1230778800,9000,0,+0230;-410236200,10800,0,EAT
Africa/Monrovia	-9223372036854775808,-2588,0,LMT;-2776979812,-2588,0,MMT;-1604359012,-2670,0,MMT;63593070,0,0,GMT
Africa/Nairobi	=Africa/Asmera
Africa/Ndjamena	-9223372036854775808,3612,0,LMT;-1830387612,3600,0,WAT;308703600,7200,1,WAST;321314400,3600,0,WAT
Africa/Niamey	-9223372036854775808,508,0,LMT;-1830384508,-3600,0,-01;-1131231600,0,0,GMT;-315619200,3600,0,WAT
